Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
AR,"Mar 8 - Mar 21, 2021",16,Statewide,Statewide,2990671,326,34.3,29.15,39.87,0,333,24.9,20,30.04,0,331,23.5,18.43,28.31,0,374,14.9,10.68,18.77,0,547,26,22.14,30.28,0,817,24.4,20.99,27.75,0,1364,25.2,22.56,27.61,0,753649,674695,825724,true,false
AZ,"Mar 8 - Mar 12, 2021",16,Statewide,Statewide,6946685,286,32.5,27.04,38.25,0,351,28.8,23.81,33.82,0,324,25.5,20.38,30.69,0,375,15.6,11.89,19.56,0,542,26.3,21.76,30.27,0,794,27.4,23.93,30.94,0,1336,26.9,23.93,29.26,0,1868658,1662342,2032600,true,false
CA,"Mar 8 - Mar 15, 2021",16,Statewide,Statewide,39148760,326,29.8,24.84,34.62,0,327,18.5,13.96,23.11,0,326,20.6,16.03,25.65,0,325,10.7,7.6,14.33,0,567,18,14.98,21.67,0,737,22.8,19.27,26.31,0,1304,20.4,17.94,22.9,0,7986347,7023288,8965066,true,false
CO,"Mar 7 - Mar 12, 2021",16,Statewide,Statewide,5531141,144,17.7,10.08,24.49,0,396,9.2,6.51,12.12,0,388,10.2,6.96,14.69,0,397,8,4.9,11.25,0,613,13.2,9.31,16.37,0,712,9.1,6.74,11.81,0,1325,11.2,8.94,13.22,0,619488,494484,731217,true,false
CT,"Mar 8 - Mar 20, 2021",16,Statewide,Statewide,3581504,320,14.9,10.42,19.24,0,326,9.3,6.1,12.7,0,317,10.7,7.3,14.52,0,321,11.9,8.02,15.53,0,524,11.8,8.98,14.56,0,760,10.7,8.25,13.3,0,1284,11.2,9.55,12.99,0,401128,342034,465237,true,false
DC,"Mar 8 - Mar 19, 2021",16,Statewide,Statewide,684498,177,26.7,20.1,34.03,0,315,21.7,17.01,27.02,0,501,20.2,16.53,24.28,0,372,11.3,8.1,14.69,0,541,21.2,16.65,26.48,0,824,21.1,17.21,24.77,0,1365,21.1,18.15,24.34,0,144429,124236,166607,true,false
DE,"Mar 8 - Mar 21, 2021",16,Statewide,Statewide,949495,179,26,19.33,33.42,0,360,18.4,14.07,22.59,0,348,14.3,10.39,18.42,0,456,14,10.86,17.21,0,518,21.8,17.23,26.56,0,825,15.2,12.34,18.17,0,1343,18.4,15.74,21.12,0,174707,149451,200533,true,false
FL,"Mar 8 - Mar 18, 2021",16,Statewide,Statewide,20598139,327,24.7,19.53,29.84,0,325,21.8,17.64,26.64,0,333,19.6,15.19,24.29,0,335,18.5,14.11,22.85,0,580,20.1,16.59,23.65,0,740,22.4,19.12,26.24,0,1320,21.3,18.9,24.07,0,4387404,3893048,4957972,true,false
GA,"Mar 8 - Mar 12, 2021",16,Statewide,Statewide,10297484,325,16,11.84,20.26,0,324,19.9,15.73,24.64,0,325,20.6,15.82,25.85,0,325,10.1,6.32,13.75,0,559,19.3,15.75,23.22,0,740,16.4,13.42,19.92,0,1299,17.8,15.35,20.43,0,1832952,1580664,2103776,true,false
HI,"Mar 3 - Mar 21, 2021",16,Statewide,Statewide,1422029,45,777,,,,397,4,1.85,6.28,0,451,2.3,0.77,4.04,0,425,1.9,0.67,3.41,0,482,2.1,0.78,3.9,0,836,2.8,1.4,4.31,0,1318,2.4,1.45,3.5,0,34129,20619,49771,false,false
IA,"Mar 4 - Mar 19, 2021",16,Statewide,Statewide,3132499,46,777,,,,619,17,13.65,20.3,0,345,21.4,17.09,25.79,0,269,13,8.83,17.22,0,566,20.7,15.87,26.02,0,713,21.2,16.04,27.03,0,1279,21,17.5,24.87,0,657825,548187,779053,true,false
ID,"Mar 5 - Mar 20, 2021",16,Statewide,Statewide,1687809,47,777,,,,557,14.2,10.85,17.82,0,342,11.3,7.78,15.12,0,351,11.9,7.62,16.6,0,485,17.6,11.01,26,0,812,13.2,9.1,17.98,0,1297,15.4,11.59,19.94,0,259923,195617,336549,true,false
IL,"Mar 8 - Mar 17, 2021",16,Statewide,Statewide,12821497,399,34,28.66,40.25,0,398,34.4,28.99,40.51,0,323,30.5,24.51,36.58,0,376,24.1,17.85,30.71,0,561,28.9,24.23,33.83,0,935,35.1,30.42,40.27,0,1496,32,29,35.57,0,4102879,3718234,4560606,true,false
IN,"Mar 4 - Mar 17, 2021",16,Statewide,Statewide,6637426,19,777,,,,503,28.7,23.66,34.18,0,206,21.8,13.11,31,0,183,16.5,8.9,24.95,0,240,23.5,15.26,31.78,0,671,27.5,21.67,37.87,0,911,25.6,21.15,30.48,0,1699181,1403816,2023087,true,false
KS,"Mar 5 - Mar 13, 2021",16,Statewide,Statewide,2908776,240,17.9,12.73,23.34,0,388,11.2,7.91,14.93,0,333,14.4,10.47,18.7,0,348,11.1,7.53,15.24,0,531,12.5,9.29,16.41,0,778,14.4,11.76,17.12,0,1309,13.5,11.4,15.81,0,392685,331600,459877,true,false
KY,"Mar 8 - Mar 21, 2021",16,Statewide,Statewide,4440204,321,22.6,17.29,27.44,0,314,27.1,21.88,32.35,0,351,22.8,18.36,27.79,0,364,11.1,7.42,14.46,0,566,24.6,20.31,28.53,0,784,20.9,17.63,24,0,1350,22.7,20.1,25.21,0,1007926,892481,1119375,true,false
LA,"Mar 4 - Mar 19, 2021",16,Statewide,Statewide,4663616,324,20.3,14.76,27.06,0,325,13.2,9.5,17.09,0,325,11.3,8.07,14.98,0,324,12.2,8.85,15.91,0,541,15.5,12.09,19.31,0,757,13.3,10.58,16.21,0,1298,14.4,12.16,16.64,0,671561,567096,776026,true,false
MA,"Mar 8 - Mar 20, 2021",16,Statewide,Statewide,6830193,210,14.3,9.43,19.72,0,352,12.1,8.36,15.91,0,358,11,7.32,14.16,0,356,9.4,6.27,12.71,0,533,14.2,10.53,18.09,0,743,9.7,7.28,12.14,0,1276,11.9,9.66,14.18,0,812793,659797,968521,true,false
MD,"Mar 4 - Mar 17, 2021",16,Statewide,Statewide,6003435,67,777,,,,465,22.9,19.2,26.73,0,426,15,11.48,18.95,0,432,8.5,5.79,11.19,0,506,19.6,14.6,25.08,0,884,20.4,17.06,24.11,0,1390,20,17.02,23.05,0,1200687,1021785,1383792,true,false
ME,"Mar 8 - Mar 19, 2021",16,Statewide,Statewide,1332813,25,777,,,,203,4,0.98,7.32,0,141,4.9,1.12,9.32,0,121,3,0,7.52,1,193,4.6,2.04,8.12,0,297,4.6,1.24,9.13,0,490,4.6,2.39,7.42,0,61309,31854,98895,true,true
MI,"Mar 8 - Mar 19, 2021",16,Statewide,Statewide,9957488,73,777,,,,339,18.6,14.33,23.08,0,464,17.1,13.55,20.96,0,441,8.9,5.98,12.25,0,448,15.7,10.93,20.66,0,869,23.5,19.08,27.54,0,1317,19.7,16.57,22.81,0,1961625,1649956,2271303,true,false
MN,"Mar 5 - Mar 20, 2021",16,Statewide,Statewide,5527358,174,16.1,10.42,22.6,0,401,12.9,9.11,17.71,0,422,14.8,10.99,19.31,0,310,16.1,10.5,21.51,0,556,14.1,10.52,18.09,0,751,15,11.74,18.52,0,1307,14.5,12.08,17.17,0,801467,667705,949047,true,false
MO,"Mar 8 - Mar 20, 2021",16,Statewide,Statewide,6090062,172,24,15.87,32.68,0,395,25.6,19.72,31.26,0,428,19.8,15.21,25.12,0,441,16.8,12.29,21.97,0,614,20.1,15.63,24.66,0,822,25.1,21.1,29.5,0,1436,22.7,19.4,25.84,0,1382444,1181472,1573672,true,false
MS,"Mar 8 - Mar 21, 2021",16,Statewide,Statewide,2988762,115,28.2,19.95,36.33,0,412,37.2,32,42.37,0,413,23.4,19.37,27.96,0,378,20.7,16.39,25.16,0,495,28.9,23.63,34.24,0,823,30.9,27.28,34.65,0,1318,29.9,26.75,33.15,0,893640,799494,990775,true,false
MT,"Mar 5 - Mar 20, 2021",16,Statewide,Statewide,1041732,30,777,,,,212,8.1,4.58,12.04,0,158,16.3,10.52,21.95,0,149,8.2,3.44,13.57,0,227,8,4.6,11.67,0,322,15.7,9.87,22.12,0,549,11.8,8.05,15.6,0,122924,83859,162510,true,false
NC,"Mar 9 - Mar 18, 2021",16,Statewide,Statewide,10155624,329,24.5,20.21,29.41,0,293,28.5,23.62,33.7,0,324,19.9,15.59,24.07,0,194,14.9,9.76,19.97,0,535,24.9,21.19,29.07,0,605,22.8,19.06,26.94,0,1140,23.8,21.14,26.63,0,2417039,2146899,2704443,true,false
ND,"Mar 9 - Mar 19, 2021",16,Statewide,Statewide,752201,0,666,,,,14,777,,,,12,777,,,,9,777,,,,18,777,,,,17,777,,,,35,777,,,,,,,true,
NE,"Mar 5 - Mar 19, 2021",16,Statewide,Statewide,1904760,81,17.4,9.87,27.11,0,548,19.9,16.63,23.41,0,409,21.6,17.78,25.7,0,238,16.5,11.59,22.34,0,583,17.8,14.26,21.96,0,693,20.4,16.64,24.6,0,1276,19.1,16.51,22.06,0,363809,314476,420190,true,false
NH,"Mar 8 - Mar 18, 2021",16,Statewide,Statewide,1343622,67,777,,,,548,8.2,6.09,10.53,0,342,9.6,6.47,12.95,0,343,5,2.29,8.06,0,577,7.2,5.11,9.51,0,723,8.9,6.35,11.85,0,1300,8.1,6.35,9.8,0,108833,85320,131675,true,false
NJ,"Mar 4 - Mar 17, 2021",16,Statewide,Statewide,8881845,209,40.1,33.7,47.11,0,304,31.7,25.92,36.91,0,292,21,16.51,26.17,0,330,15.7,11.6,20.1,0,477,28.9,24.08,33.71,0,658,28.8,25.02,32.89,0,1135,28.9,25.99,31.82,0,2566853,2308392,2826203,true,false
NM,"Mar 4 - Mar 20, 2021",16,Statewide,Statewide,2092434,204,21.5,15.41,28.27,0,365,15.1,11.15,18.88,0,365,17.2,12.93,21.49,0,365,7.2,4.48,10.23,0,520,15.6,11.69,19.55,0,779,15.9,12.92,18.99,0,1299,15.7,13.34,18.04,0,328512,279131,377475,true,false
NV,"Mar 8 - Mar 15, 2021",16,Statewide,Statewide,2922849,94,35.7,25.88,46.37,0,437,24.9,20.78,29.34,0,442,22,17.46,26.27,0,346,11.4,8.02,14.8,0,538,26.2,21.4,31.56,0,781,23.4,19.79,27.17,0,1319,24.8,22,28.03,0,724867,643027,819275,true,false
NY,"Mar 1 - Mar 20, 2021",16,Statewide,Statewide,19618453,352,11,7.85,14.52,0,323,16.2,12.05,20.19,0,304,15.2,11.15,19.49,0,329,10.2,6.93,13.51,0,605,15.4,11.98,19.08,0,703,12.6,9.98,15.5,0,1308,13.9,11.83,16.08,0,2726965,2320863,3154647,true,false
OH,"Mar 8 - Mar 17, 2021",16,Statewide,Statewide,11641879,260,33,27.03,38.78,0,507,35.1,30.63,39.2,0,343,27.5,22.54,32.06,0,456,17.4,13.82,20.94,0,712,34.7,30.84,38.51,0,854,25.8,22.38,28.87,0,1566,30.2,27.96,32.73,0,3515847,3255069,3810387,true,false
OK,"Mar 5 - Mar 12, 2021",16,Statewide,Statewide,3918137,260,20.6,15.56,26.22,0,325,17,12.13,21.61,0,325,21.1,16.56,25.58,0,390,14.3,10.47,18.01,0,541,19.7,15.61,23.54,0,759,16.8,13.8,19.83,0,1300,18.2,15.82,20.81,0,713101,619849,815364,true,false
OR,"Mar 5 - Mar 20, 2021",16,Statewide,Statewide,4081943,260,14,9.89,19.07,0,347,4.4,2.34,6.48,0,352,4.9,2.6,7.38,0,353,3.3,1.21,5.62,0,555,7.4,5.25,9.79,0,757,5.3,3.59,7.16,0,1312,6.3,4.92,7.81,0,257162,200832,318800,true,false
PA,"Mar 8 - Mar 21, 2021",16,Statewide,Statewide,12791181,354,22.7,17.84,27.83,0,402,22.6,17.55,27.68,0,422,17.5,13.82,21.8,0,350,12.8,9.09,16.91,0,603,19.8,16.24,23.98,0,925,19.9,16.82,23.08,0,1528,19.9,17.21,22.75,0,2545445,2201362,2909994,true,false
PR,"Mar 8 - Mar 16, 2021",16,Statewide,Statewide,3386941,325,6,3.32,9.31,0,325,30.7,24.92,36.9,0,325,32.2,26.37,38.32,0,325,52.5,46.83,59.37,0,543,28.5,23.98,33.61,0,757,31.6,27.12,35.61,0,1300,30.1,27.43,33.27,0,1019469,929038,1126835,true,false
RI,"Mar 8 - Mar 20, 2021",16,Statewide,Statewide,1056611,41,777,,,,395,10.5,7.56,13.72,0,254,12.9,9.03,17.25,0,248,7.7,4.47,11.29,0,405,14.4,9.66,20.04,0,533,9.4,6.12,13.49,0,938,11.8,9.03,15.09,0,124680,95412,159443,true,false
SC,"Mar 8 - Mar 18, 2021",16,Statewide,Statewide,4955925,285,35.9,30.52,41.81,0,310,23.3,18.28,28.42,0,397,20.3,16.21,25.27,0,514,15.2,12.26,18.56,0,648,23.2,19.35,27.28,0,858,25,21.53,28.59,0,1506,24.1,21.5,26.78,0,1194378,1065524,1327197,true,false
SD,"Mar 8 - Mar 19, 2021",16,Statewide,Statewide,864289,3,777,,,,65,777,,,,49,777,,,,50,777,,,,62,777,,,,105,20.9,6.68,48.68,0,167,26.8,15.5,45.35,0,231629,133965,391955,false,false
TN,"Mar 8 - Mar 21, 2021",16,Statewide,Statewide,6651089,192,30.1,23.23,37.31,0,473,27,22.84,31.24,0,434,23.7,19.65,27.82,0,490,14.8,11.8,18.19,0,626,24.3,20.27,28.68,0,963,25.9,22.67,29.21,0,1589,25.1,22.71,27.86,0,1669423,1510462,1852993,true,false
TX,"Mar 4 - Mar 17, 2021",16,Statewide,Statewide,27885195,61,777,,,,459,29.6,24.29,35.09,0,430,22.4,17.8,27.05,0,447,16.4,12.57,20.78,0,525,23.7,18.5,30.78,0,872,24.2,20.05,28.56,0,1397,24,20.17,28.04,0,6692447,5624444,7819009,true,false
UT,"Mar 8 - Mar 18, 2021",16,Statewide,Statewide,3045350,97,43.9,32.56,54.86,0,418,28.6,23.44,34.23,0,377,25.3,20.32,30.32,0,416,15.7,11.75,19.83,0,522,29.5,23.15,35.63,0,786,33.3,27.7,38.75,0,1308,31.4,27.49,35.36,0,956240,837167,1076836,true,false
VA,"Mar 4 - Mar 17, 2021",16,Statewide,Statewide,8413774,15,777,,,,768,16.7,13.73,19.76,0,499,10.4,7.64,13.46,0,573,8.2,5.3,10.76,0,692,15.1,11.03,22.82,0,1163,13.9,10.5,16.71,0,1855,14.5,12.17,17.96,0,1219997,1023956,1511114,true,false
VT,"Mar 8 - Mar 19, 2021",16,Statewide,Statewide,624977,15,777,,,,260,2.4,0.6,4.58,0,154,1.8,0,4.27,1,143,3.4,0,7.75,1,191,3.2,0.64,7.54,1,381,2.7,0.9,5.2,0,572,2.9,1.22,5.56,0,18124,7625,34749,true,true
WA,"Mar 3 - Mar 20, 2021",16,Statewide,Statewide,7294336,270,9.5,5.51,13.83,0,350,6.6,3.99,9.43,0,342,5.2,2.7,8.16,0,350,4.7,2.63,7.51,0,552,8.3,5.67,11.24,0,760,5.1,3.32,7.02,0,1312,6.7,5.12,8.39,0,488721,373470,611995,true,false
WI,"Mar 8 - Mar 20, 2021",16,Statewide,Statewide,5778394,125,40.1,31.14,50.18,0,418,32.4,26.96,38.04,0,388,28.7,23.29,34.87,0,348,21.1,16.08,26.07,0,524,33.5,28.11,38.76,0,755,29.6,25.27,33.51,0,1279,31.5,28.02,35.03,0,1820194,1619106,2024171,true,false
WV,"Mar 7 - Mar 20, 2021",16,Statewide,Statewide,1829054,50,777,,,,455,13.5,10.35,17.44,0,405,10.1,6.93,13.7,0,349,5.9,3.36,8.66,0,500,12.8,8.33,17.71,0,759,10,7.16,13.2,0,1259,11.4,8.53,14.18,0,208512,156018,259360,true,false
WY,"Mar 8 - Mar 20, 2021",16,Statewide,Statewide,581836,12,777,,,,144,37.7,29.72,46.25,0,129,22.1,14.83,29.27,0,92,11.3,4.92,18.1,0,160,30.1,22.03,38.13,0,217,29.4,22.85,37,0,377,29.7,24.32,35.19,0,172805,141503,204748,true,false
US,"Mar 1 - Mar 21, 2021",16,50 States & DC,50 States & DC,322903030,8702,25.1,24,26.19,0,19195,22,21.23,22.82,0,17266,18.8,17.89,19.7,0,17133,13.4,12.67,14.14,0,25422,20.4,19.72,21.08,0,36874,20.5,19.82,21.07,0,62296,20.4,19.97,20.89,0,65872218,64483735,67454443,true,false
AK,"Mar 18 -  Apr 1, 2021",17,Statewide,Statewide,738516,42,777,,,,512,10.7,7.74,13.63,0,324,13.5,9.77,17.81,0,435,9.2,6.13,12.5,0,513,16.8,9.4,24.03,0,800,10.3,7.33,13.75,0,1313,13.7,9.15,17.69,0,101177,67574,130643,true,false
AL,"Mar 22 -  Apr 4, 2021",17,Statewide,Statewide,4864680,253,35,29.08,41.14,0,413,31.4,27.13,36.56,0,355,25.5,20.78,29.66,0,388,18.7,14.44,22.64,0,580,28,23.67,32.09,0,829,29.9,26.46,33.2,0,1409,29,26.31,31.53,0,1410757,1279897,1533834,true,false
AR,"Mar 22 -  Apr 4, 2021",17,Statewide,Statewide,2990671,321,30,24.79,35.63,0,611,27.5,23.65,31.2,0,436,16.4,12.69,20.23,0,366,13.9,10.46,17.92,0,659,24.2,20.86,27.69,0,1075,23.3,20.58,25.92,0,1734,23.7,21.62,25.87,0,708789,646583,773687,true,false
AZ,"Mar 22 - Mar 25, 2021",17,Statewide,Statewide,6946685,280,31,25.46,36.91,0,331,29,24.41,34.08,0,355,25.9,21.47,30.62,0,371,15.3,11.94,19.4,0,538,27,22.72,31.16,0,799,26.3,22.92,29.7,0,1337,26.6,24.04,29.46,0,1847818,1669983,2046493,true,false
CA,"Mar 22 - Mar 29, 2021",17,Statewide,Statewide,39148760,323,35.1,29.67,40.75,0,329,23,18.66,27.62,0,324,21.2,16.76,25.91,0,327,12.4,9.23,16.6,0,620,19.8,16.4,23.33,0,683,28.1,24.34,32.22,0,1303,24,21.46,26.76,0,9395702,8401324,10476208,true,false
CO,"Mar 21 - Mar 24, 2021",17,Statewide,Statewide,5531141,65,777,,,,505,10.7,7.84,13.81,0,292,14.3,10.32,18.66,0,353,9.8,5.52,16.96,0,540,14.4,8.64,20.76,0,675,11.5,8.47,14.93,0,1215,12.9,9.24,16.76,0,713517,511077,927019,true,false
CT,"Mar 22 -  Apr 4, 2021",17,Statewide,Statewide,3581504,329,12.6,8.84,17.02,0,323,11.3,7.53,15.03,0,323,10.6,6.92,14.44,0,326,9.4,5.91,12.87,0,538,12.3,9.14,15.49,0,763,10,7.47,12.57,0,1301,11.1,9.19,13.08,0,397547,329140,468461,true,false
DC,"Mar 22 -  Apr 3, 2021",17,Statewide,Statewide,684498,141,38.5,30.17,46.79,0,351,20.7,16.64,25.36,0,366,22.5,18.46,26.87,0,349,12.7,9.3,16.57,0,496,24.9,20.39,29.62,0,711,21.6,17.94,25.55,0,1207,23.2,20.25,26.25,0,158804,138611,179681,true,false
DE,"Mar 22 -  Apr 3, 2021",17,Statewide,Statewide,949495,124,18.9,12.46,26.46,0,614,19,15.92,22.54,0,399,17.7,13.78,21.71,0,545,8,5.57,10.68,0,715,18,14.95,21.63,0,967,15.6,13.23,18.55,0,1682,16.8,14.83,19.01,0,159515,140810,180499,true,false
FL,"Mar 22 - Mar 26, 2021",17,Statewide,Statewide,20598139,329,29.5,24.66,34.64,0,333,22.3,18.11,26.84,0,330,12.6,9.28,16.1,0,337,15.9,12.14,20.17,0,597,18.6,15.26,21.98,0,732,22.4,19.17,25.56,0,1329,20.5,18.26,22.95,0,4222618,3761220,4727273,true,false
GA,"Mar 18 -  Apr 1, 2021",17,Statewide,Statewide,10297484,325,18.8,14.35,23.36,0,326,18,13.64,22.45,0,326,18.7,14.04,23.26,0,324,11.8,8.16,16.07,0,565,18,14.26,21.77,0,736,17.1,13.98,20.08,0,1301,17.5,15.08,19.98,0,1802060,1552861,2057437,true,false
HI,"Mar 16 -  Apr 3, 2021",17,Statewide,Statewide,1422029,55,777,,,,419,2,0.6,3.76,0,421,0.9,0,2.01,0,424,0.8,0,1.92,0,483,0.9,0,2.07,0,836,2,0.69,3.78,0,1319,1.4,0.66,2.52,0,19908,9385,35835,true,false
IA,"Mar 19 -  Apr 3, 2021",17,Statewide,Statewide,3132499,69,777,,,,594,18.2,15.12,21.77,0,374,21.6,17.35,26.11,0,251,11.5,7.16,16.21,0,567,18.4,14.81,22.36,0,721,16.9,13.51,20.88,0,1288,17.7,15.15,20.36,0,554452,474574,637777,true,false
ID,"Mar 19 -  Apr 3, 2021",17,Statewide,Statewide,1687809,24,777,,,,515,13.6,10.43,17.04,0,411,15.2,11.12,19.46,0,353,10.9,7.32,15.24,0,490,14.3,9.39,20.49,0,813,17.3,11.42,24.5,0,1303,15.8,12.15,20.39,0,266674,205069,344144,true,false
IL,"Mar 22 -  Apr 3, 2021",17,Statewide,Statewide,12821497,337,34.3,28.74,39.79,0,356,28.3,23.72,33.01,0,408,27.9,22.63,34,0,356,21.6,16.72,26.6,0,556,27.8,23.25,32.77,0,901,29.4,26.25,33.13,0,1457,28.6,26.14,31.31,0,3666948,3351539,4014411,true,false
IN,"Mar 18 - Mar 30, 2021",17,Statewide,Statewide,6637426,9,777,,,,252,25.3,18.98,32.86,0,83,19.4,7.71,34.35,0,111,6.6,2.28,12.63,0,121,24.9,16.43,35.01,0,334,18.3,13.56,23.87,0,455,21.5,16.83,27.11,0,1427047,1117079,1799406,true,false
KS,"Mar 17 - Mar 27, 2021",17,Statewide,Statewide,2908776,162,20.3,14.03,27.2,0,424,11.3,7.96,15.28,0,317,16.1,12.07,21.19,0,328,12.1,8.31,16.49,0,526,15.1,11.56,18.86,0,705,14,11.07,17.51,0,1231,14.6,12.42,16.98,0,424681,361270,493910,true,false
KY,"Mar 22 -  Apr 3, 2021",17,Statewide,Statewide,4440204,333,29.9,24.54,35.54,0,360,24.5,19.68,29.09,0,311,19.8,15.39,24.45,0,378,15.5,11.52,19.86,0,545,25.8,21.57,29.99,0,837,21.1,17.85,23.92,0,1382,23.4,20.92,26.06,0,1039008,928891,1157117,true,false
LA,"Mar 19 -  Apr 3, 2021",17,Statewide,Statewide,4663616,320,16.1,10.39,21.73,0,323,11.9,8.22,16.32,0,325,16.6,12.01,21.77,0,325,11.8,8.05,16.46,0,510,14,10.69,17.68,0,783,13.6,10.6,17.21,0,1293,13.8,11.56,16.47,0,643579,539114,768098,true,false
MA,"Mar 22 -  Apr 3, 2021",17,Statewide,Statewide,6830193,189,10.7,6.19,15.44,0,378,6.1,3.67,8.59,0,372,12.3,9.14,15.73,0,363,9,6.15,12.09,0,539,9.6,7.14,12.33,0,763,8,5.75,10.06,0,1302,8.8,7.18,10.43,0,601057,490408,712389,true,false
MD,"Mar 18 - Mar 31, 2021",17,Statewide,Statewide,6003435,54,777,,,,291,36.2,31.16,41.4,0,296,13.5,9.95,17.69,0,274,12.3,8.51,16.02,0,404,33.5,27.45,39.17,0,511,18.8,14,23.77,0,915,25.9,22.12,29.39,0,1554890,1327960,1764410,true,false
ME,"Mar 22 -  Apr 3, 2021",17,Statewide,Statewide,1332813,25,777,,,,286,3.2,1.08,6.03,0,156,3.6,0.9,7.02,0,138,1.6,0,4.2,1,214,1.7,0.29,3.68,0,391,3.1,1.42,5.24,0,605,2.4,1.32,3.93,0,31988,17593,52380,false,true
MI,"Mar 22 -  Apr 4, 2021",17,Statewide,Statewide,9957488,86,31.4,19.92,42.24,0,439,27.2,22.72,32.36,0,409,14,10.54,17.62,0,385,13.4,9.9,17.34,0,464,25.4,20.2,30.94,0,855,20.9,17.48,24.78,0,1319,23.1,19.89,26.51,0,2300180,1980544,2639730,true,false
MN,"Mar 16 - Mar 29, 2021",17,Statewide,Statewide,5527358,97,15,7.99,21.9,0,598,12.6,9.92,15.59,0,345,14.1,10.32,18.51,0,256,13.1,8.32,18.16,0,516,12.6,9.39,16.17,0,780,14.5,11.49,17.38,0,1296,13.5,11.38,15.8,0,746193,629013,873323,true,false
MO,"Mar 22 - Mar 31, 2021",17,Statewide,Statewide,6090062,222,32.6,24.92,40.31,0,376,30.1,24.01,36.44,0,350,22.1,17.22,27.94,0,347,14.7,10.47,19.57,0,505,27.2,22.46,32.64,0,790,25.9,22.07,30.01,0,1295,26.6,23.46,29.99,0,1619956,1428729,1826410,true,false
MS,"Mar 22 -  Apr 4, 2021",17,Statewide,Statewide,2988762,65,777,,,,478,32.2,28.04,36.28,0,456,22.7,18.8,27.26,0,443,17.8,14.05,21.68,0,545,29.6,23.53,36.34,0,897,30.2,25.68,35.14,0,1442,29.9,26,33.74,0,893640,777078,1008408,true,false
MT,"Mar 22 -  Apr 2, 2021",17,Statewide,Statewide,1041732,23,777,,,,211,16.6,11.29,21.72,0,167,18.9,12.42,25.4,0,139,10.4,5.42,16.47,0,212,15.7,10.28,22.04,0,328,14.8,10.53,20.01,0,540,15.3,11.67,19.47,0,159385,121570,202825,true,false
NC,"Mar 24 - Mar 31, 2021",17,Statewide,Statewide,10155624,402,24.6,20.32,28.9,0,313,29.6,24.24,34.87,0,319,15.8,11.64,19.74,0,328,11.4,8.27,14.83,0,572,23.5,19.49,27.85,0,790,22.4,18.96,25.61,0,1362,22.9,20.54,25.63,0,2325638,2085965,2602886,true,false
ND,"Mar 22 -  Apr 2, 2021",17,Statewide,Statewide,752201,0,666,,,,11,777,,,,8,777,,,,17,777,,,,19,777,,,,17,777,,,,36,777,,,,,,,true,
NE,"Mar 19 -  Apr 1, 2021",17,Statewide,Statewide,1904760,59,777,,,,612,14.5,11.6,17.56,0,377,20.9,16.89,25.58,0,248,14.4,9.79,18.77,0,563,17.1,13.01,22.38,0,733,17.2,12.68,21.4,0,1296,17.1,14.25,20.28,0,325714,271428,386285,true,false
NH,"Mar 22 - Mar 30, 2021",17,Statewide,Statewide,1343622,62,777,,,,541,9.9,6.89,12.93,0,328,9.8,6.84,13.04,0,366,3.6,1.76,6.07,0,538,9.5,6.65,12.85,0,759,8.1,5.67,10.56,0,1297,8.8,6.86,10.78,0,118239,92172,144842,true,false
NJ,"Mar 18 - Mar 31, 2021",17,Statewide,Statewide,8881845,174,46,37.8,53.32,0,246,29.3,23.16,36.17,0,260,17.6,12.76,22.94,0,254,12.2,8.16,16.27,0,378,30.3,25.35,35.2,0,556,25.7,21.41,30.18,0,934,27.9,24.5,31.55,0,2478035,2176052,2802222,true,false
NM,"Mar 19 -  Apr 3, 2021",17,Statewide,Statewide,2092434,200,27.8,21.52,34.39,0,366,14.8,11.13,18.75,0,364,15.6,11.9,19.54,0,368,8.9,6.01,12.5,0,513,17.4,13.4,21.4,0,785,16.7,13.52,19.8,0,1298,17.1,14.5,19.72,0,357806,303403,412628,true,false
